"state","driver_race","pre_legalization","quarter","search_rate"
"AZ","white",TRUE,2011-02-15,0.0475992517148202
"AZ","white",TRUE,2011-05-15,0.0403374355962519
"AZ","white",TRUE,2011-08-15,0.0348467766731577
"AZ","white",TRUE,2011-11-15,0.0353420237150101
"AZ","white",TRUE,2012-02-15,0.0331977461023472
"AZ","white",TRUE,2012-05-15,0.0315107489938156
"AZ","white",TRUE,2012-08-15,0.0315923018543061
"AZ","white",FALSE,2013-02-15,0.032434914119045
"AZ","white",FALSE,2013-05-15,0.0335031404671626
"AZ","white",FALSE,2013-08-15,0.0331415618140342
"AZ","white",FALSE,2013-11-15,0.0319664344521849
"AZ","white",FALSE,2014-02-15,0.0306540906294853
"AZ","white",FALSE,2014-05-15,0.0341486186360357
"AZ","white",FALSE,2014-08-15,0.0314608307778088
"AZ","white",FALSE,2014-11-15,0.0336293066780094
"AZ","white",FALSE,2015-02-15,0.0353107542388306
"AZ","white",FALSE,2015-05-15,0.0324558947073649
"AZ","white",FALSE,2015-08-15,0.0308203403079242
"AZ","white",FALSE,2015-11-15,0.0347177479308123
"AZ","black",TRUE,2011-02-15,0.101593625498008
"AZ","black",TRUE,2011-05-15,0.0875394321766561
"AZ","black",TRUE,2011-08-15,0.0695876288659794
"AZ","black",TRUE,2011-11-15,0.0766876107620428
"AZ","black",TRUE,2012-02-15,0.0822935651198654
"AZ","black",TRUE,2012-05-15,0.0696382796923953
"AZ","black",TRUE,2012-08-15,0.0642066420664207
"AZ","black",FALSE,2013-02-15,0.0834344660194175
"AZ","black",FALSE,2013-05-15,0.0769230769230769
"AZ","black",FALSE,2013-08-15,0.0678619054674767
"AZ","black",FALSE,2013-11-15,0.0729415784079262
"AZ","black",FALSE,2014-02-15,0.0778409090909091
"AZ","black",FALSE,2014-05-15,0.0725725003606983
"AZ","black",FALSE,2014-08-15,0.0758044971051569
"AZ","black",FALSE,2014-11-15,0.077634011090573
"AZ","black",FALSE,2015-02-15,0.0777283433656111
"AZ","black",FALSE,2015-05-15,0.0769791160757649
"AZ","black",FALSE,2015-08-15,0.068349233184398
"AZ","black",FALSE,2015-11-15,0.0873052245646196
"AZ","hispanic",TRUE,2011-02-15,0.131220051603391
"AZ","hispanic",TRUE,2011-05-15,0.105106516290727
"AZ","hispanic",TRUE,2011-08-15,0.0808725823121217
"AZ","hispanic",TRUE,2011-11-15,0.080821869858938
"AZ","hispanic",TRUE,2012-02-15,0.0817345187958197
"AZ","hispanic",TRUE,2012-05-15,0.0763720871004712
"AZ","hispanic",TRUE,2012-08-15,0.0727171646977067
"AZ","hispanic",FALSE,2013-02-15,0.0753009052024271
"AZ","hispanic",FALSE,2013-05-15,0.0782298589722808
"AZ","hispanic",FALSE,2013-08-15,0.0706420619185603
"AZ","hispanic",FALSE,2013-11-15,0.0671392077141726
"AZ","hispanic",FALSE,2014-02-15,0.0673213818752361
"AZ","hispanic",FALSE,2014-05-15,0.0690558109795086
"AZ","hispanic",FALSE,2014-08-15,0.0717112646937208
"AZ","hispanic",FALSE,2014-11-15,0.0741140440425842
"AZ","hispanic",FALSE,2015-02-15,0.073944740550144
"AZ","hispanic",FALSE,2015-05-15,0.0687687425393775
"AZ","hispanic",FALSE,2015-08-15,0.0638196981953084
"AZ","hispanic",FALSE,2015-11-15,0.0774911587268567
"CA","white",TRUE,2011-02-15,0.00124078043190894
"CA","white",TRUE,2011-05-15,0.00109990151651037
"CA","white",TRUE,2011-08-15,0.00104321043872795
"CA","white",TRUE,2011-11-15,0.0013042066799541
"CA","white",TRUE,2012-02-15,0.00113215466521358
"CA","white",TRUE,2012-05-15,0.0011882972950601
"CA","white",TRUE,2012-08-15,0.00110672898831279
"CA","white",FALSE,2013-02-15,0.00144943418307532
"CA","white",FALSE,2013-05-15,0.00116000666301405
"CA","white",FALSE,2013-08-15,0.00130277999327726
"CA","white",FALSE,2013-11-15,0.00136562629320672
"CA","white",FALSE,2014-02-15,0.001456257738374
"CA","white",FALSE,2014-05-15,0.00127915593351918
"CA","white",FALSE,2014-08-15,0.00115354759251148
"CA","white",FALSE,2014-11-15,0.00143880510661622
"CA","white",FALSE,2015-02-15,0.00152389196597844
"CA","white",FALSE,2015-05-15,0.00130556616991466
"CA","white",FALSE,2015-08-15,0.00132260040004005
"CA","white",FALSE,2015-11-15,0.00139377126575378
"CA","black",TRUE,2011-02-15,0.00241859025211385
"CA","black",TRUE,2011-05-15,0.00203022351611729
"CA","black",TRUE,2011-08-15,0.00184397031021541
"CA","black",TRUE,2011-11-15,0.00223105923668853
"CA","black",TRUE,2012-02-15,0.00220055013753438
"CA","black",TRUE,2012-05-15,0.00241777998202164
"CA","black",TRUE,2012-08-15,0.00233090171364441
"CA","black",FALSE,2013-02-15,0.00297436012121077
"CA","black",FALSE,2013-05-15,0.00215475236589644
"CA","black",FALSE,2013-08-15,0.00181288510709645
"CA","black",FALSE,2013-11-15,0.00216373802826525
"CA","black",FALSE,2014-02-15,0.00225400279807244
"CA","black",FALSE,2014-05-15,0.00233092242827272
"CA","black",FALSE,2014-08-15,0.00194466051783531
"CA","black",FALSE,2014-11-15,0.00243536665085815
"CA","black",FALSE,2015-02-15,0.00271368905367074
"CA","black",FALSE,2015-05-15,0.0018415384100269
"CA","black",FALSE,2015-08-15,0.00178092356869684
"CA","black",FALSE,2015-11-15,0.00216312837584032
"CA","hispanic",TRUE,2011-02-15,0.00170027020375899
"CA","hispanic",TRUE,2011-05-15,0.00153870050189789
"CA","hispanic",TRUE,2011-08-15,0.00137292824667634
"CA","hispanic",TRUE,2011-11-15,0.00148146198984291
"CA","hispanic",TRUE,2012-02-15,0.00163100442262955
"CA","hispanic",TRUE,2012-05-15,0.00158995837153721
"CA","hispanic",TRUE,2012-08-15,0.00169111675387826
"CA","hispanic",FALSE,2013-02-15,0.00190972765746715
"CA","hispanic",FALSE,2013-05-15,0.00176221835974429
"CA","hispanic",FALSE,2013-08-15,0.00179721547302248
"CA","hispanic",FALSE,2013-11-15,0.00196286532689696
"CA","hispanic",FALSE,2014-02-15,0.00196714235913213
"CA","hispanic",FALSE,2014-05-15,0.00164940328754785
"CA","hispanic",FALSE,2014-08-15,0.00188149547847213
"CA","hispanic",FALSE,2014-11-15,0.00193497490433832
"CA","hispanic",FALSE,2015-02-15,0.0020244111891656
"CA","hispanic",FALSE,2015-05-15,0.00165097546289745
"CA","hispanic",FALSE,2015-08-15,0.00182029938115354
"CA","hispanic",FALSE,2015-11-15,0.00179036204057529
"CO","white",TRUE,2011-02-15,0.00453984364284735
"CO","white",TRUE,2011-05-15,0.00401535697932443
"CO","white",TRUE,2011-08-15,0.00356210909994615
